Keyword,Visibility,Visibility Difference,Yahoo! Rank,Yahoo! Previous Rank,Yahoo! Difference,Yahoo! SERP Features,Yahoo! URL Found,Bing US Rank,Bing US Previous Rank,Bing US Difference,Bing US SERP Features,Bing US URL Found,Google HOU Rank,Google HOU Previous Rank,Google HOU Difference,Google HOU SERP Features,Google HOU URL Found,Google Mobile HOU Rank,Google Mobile HOU Previous Rank,Google Mobile HOU Difference,Google Mobile HOU SERP Features,Google Mobile HOU URL Found
houston custom mahogany entry doors,99%,-1%,1,1,0,Videos (0),https://www.southernfront.com/houston/mahogany-front-doors/,1(3),1(4),0 (+1),"Local Pack (1), Images (0)",https://www.southernfront.com/,1,1,0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0), Ads Bottom (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/,2,1(1),-1,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0), Shopping (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/
houston exterior doors,99%,+3%,1,1,0,Images (1),https://www.southernfront.com/,1,1,0,"Local Pack (1), Images (1)",https://www.southernfront.com,1,3,+2,"Local Pack (0), Images (1), Thumbnail (1), Reviews (0)",https://www.southernfront.com/,2,3,+1,"Local Pack (0), Images (1), Thumbnail (1), Reviews (0), People Also Ask (0)",https://www.southernfront.com/
houston external front doors with glass,99%,0%,2(1),2,0,Images (1),https://www.southernfront.com/houston/rustic-entry-doors-houston/,1(5),1,0,"Local Pack (1), Images (1)",http://www.southernfront.com,1,1,0,"Local Pack (1), Images (1), Videos (0), Thumbnail (1), Reviews (0), Ads Top (0), Ads Bottom (0), Shopping (0)",https://www.southernfront.com/,1,1,0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0), Ads Top (0), Ads Bottom (0)",https://www.southernfront.com/
houston solid mahogany front door,99%,+3%,1,2,+1,"Images (0), Videos (0)",https://www.southernfront.com/houston/mahogany-front-doors/,1(1),2(2),+1,"Local Pack (1), Images (0), Videos (0)",https://www.southernfront.com/,2,2,0,"Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/,1(1),2,+1,"Images (1), Videos (0), Thumbnail (1), Reviews (0), Knowledge Panel (0), People Also Ask (0), Shopping (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/
houston texas front door,99%,0%,2,2,0,"Local Pack (0), Images (1)",https://www.southernfront.com/,1,1,0,"Local Pack (1), Images (1)",https://www.southernfront.com,1,1,0,"Local Pack (1), Images (1), Thumbnail (1), Reviews (0), Ads Top (0)",https://www.southernfront.com/,1(2),1(2),0,"Local Pack (1), Images (1), Thumbnail (1), Reviews (0)",https://www.southernfront.com/
houston tx external front doors,99%,0%,1,1,0,Images (1),https://www.southernfront.com/,1,1,0,"Local Pack (1), Images (1)",https://www.southernfront.com,1,1,0,"Local Pack (0), Images (1), Thumbnail (1), Reviews (0), Ads Top (0)",https://www.southernfront.com/,2,2,0,"Local Pack (0), Images (1), Thumbnail (1), Reviews (0), Ads Bottom (0), Shopping (0)",https://www.southernfront.com/
replacement entry door houston tx,99%,0%,2,2,0,"Local Pack (0), Images (1)",https://www.southernfront.com/,1,1,0,"Local Pack (1), Images (1)",https://www.southernfront.com,1(2),1(2),0,"Local Pack (1), Images (1), Thumbnail (1), Reviews (0), People Also Ask (0)",https://www.southernfront.com/,1(2),1(2),0,"Local Pack (1), Images (1), Thumbnail (1), Reviews (0), People Also Ask (0)",https://www.southernfront.com/
solid wood door with glass houston,99%,0%,2,2,0,"Local Pack (0), Images (0)",https://www.southernfront.com/houston/custom-wood-doors-houston-tx/,1(1),1(1),0,"Local Pack (1), Images (0)",https://www.southernfront.com/,1(3),1(2),0 (-1),"Local Pack (1), Images (1), Thumbnail (1), Reviews (0)",https://www.southernfront.com/,1(3),1(1),0 (-2),"Local Pack (1), Images (1), Thumbnail (1), Reviews (0), Shopping (0)",https://www.southernfront.com/
southern doors houston tx,99%,-1%,2,1,-1,"Local Pack (0), Images (1)",https://www.southernfront.com/,1,1,0,Images (1),https://www.southernfront.com,1,1,0,"Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), People Also Ask (0), Ads Bottom (0)",https://www.southernfront.com/,1,1,0,"Images (1), Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://www.southernfront.com/
speakeasy doors entry doors hosuton,99%,+2%,1,1,0,Images (0),https://www.southernfront.com/houston/houston-speakeasy-door/,1(1),1(1),0,Local Pack (1),https://www.southernfront.com/,1,2,+1,"Local Pack (1), Images (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0), Shopping (0)",https://www.southernfront.com/houston/houston-speakeasy-door/,2,3,+1,"Local Pack (0), Images (0), Videos (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/houston/houston-speakeasy-door/
speakeasy doors entry doors houston,99%,+2%,1,1,0,Images (0),https://www.southernfront.com/houston/houston-speakeasy-door/,1(1),1(2),0 (+1),"Local Pack (1), Images (0)",https://www.southernfront.com/,1,2,+1,"Local Pack (1), Images (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://www.southernfront.com/houston/houston-speakeasy-door/,2,3,+1,"Local Pack (0), Images (0), Videos (0), Thumbnail (1), Shopping (0)",https://www.southernfront.com/houston/houston-speakeasy-door/
"hardwood doors Fort Bend, tx",99%,+1%,2,2,0,Local Pack (0),https://www.southernfront.com/,1,1,0,"Local Pack (0), Images (0)",https://www.southernfront.com,1,1,0,"Images (1), Thumbnail (1), Reviews (0), Knowledge Panel (0), People Also Ask (0), Ads Bottom (0)",https://www.southernfront.com/products/wood-doors/,1,2,+1,"Images (1), Thumbnail (0), Reviews (0), Knowledge Panel (0), Ads Bottom (0)",https://www.southernfront.com/products/wood-doors/
"Mahogany Exterior Doors Fort Bend, tx",99%,0%,1,1,0,Images (1),https://www.southernfront.com/houston/mahogany-front-doors/,2(1),1(1),-1,Images (1),http://www.southernfront.com,1,1,0,"Local Pack (0), Images (1), Thumbnail (1), Reviews (0), People Also Ask (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/,1,2,+1,"Local Pack (0), Images (1), Thumbnail (1), Reviews (0), People Also Ask (0), Shopping (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/
"Mahogany Exterior Doors Montgomery County, TX",99%,0%,1,1,0,Images (1),https://www.southernfront.com/houston/mahogany-front-doors/,1(1),1(1),0,"Local Pack (1), Images (1), Videos (0)",https://www.southernfront.com/,1,1,0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), People Also Ask (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-the-woodlands-tx/,2,2,0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), People Also Ask (0), Ads Bottom (0), Shopping (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-the-woodlands-tx/
houston external front door glass included,99%,+5%,1,5,+4,Videos (0),https://www.southernfront.com/houston/houston-exterior-doors/,1(2),4(3),+3,"Local Pack (1), Videos (0)",https://www.southernfront.com/,1,1,0,"Images (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0), Ads Bottom (0)",https://www.southernfront.com/,2,1(1),-1,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0), Shopping (0)",https://www.southernfront.com/
houston company modern front doors with glass,99%,-1%,2,1,-1,Images (0),https://www.southernfront.com/modern-entry-doors-houston-tx/,1,1(1),0,"Local Pack (1), Images (0)",https://www.southernfront.com/houston/houston-modern-front-doors,1,1,0,"Local Pack (1), Images (1), Videos (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/houston/houston-modern-front-doors/,1,1(1),0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0), Ads Top (0), Shopping (0)",https://www.southernfront.com/houston/houston-modern-front-doors/
houston made solid doors,99%,+3%,2,4,+2,"Images (0), News (0)",https://www.southernfront.com/products/wood-doors/,1(1),2(4),+1,"Local Pack (1), Images (0)",https://www.southernfront.com/,1,1,0,"Images (1), Thumbnail (1), Reviews (0), Knowledge Panel (0), People Also Ask (0)",https://www.southernfront.com/houston/custom-wood-doors-houston-tx/,1,1,0,"Images (1), Thumbnail (1), Knowledge Panel (0), People Also Ask (0), Ads Top (0), Ads Bottom (0)",https://www.southernfront.com/houston/custom-wood-doors-houston-tx/
houston wood and iron doors company,99%,+3%,1,1,0,Videos (0),https://www.southernfront.com/,1,3,+2,,https://www.southernfront.com,1,2,+1,"Local Pack (1), Images (1), Videos (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/houston/wood-and-iron-doors-houston/,2,2,0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0), Ads Top (0), Ads Bottom (0)",https://www.southernfront.com/houston/wood-and-iron-doors-houston/
southern doors houston texas,99%,0%,2,2,0,"Local Pack (0), Images (1)",https://www.southernfront.com/,1,1,0,Images (1),https://www.southernfront.com,1,1,0,"Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), People Also Ask (0)",https://www.southernfront.com/,1,1,0,"Images (1), Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://www.southernfront.com/
southern front doors company houston,99%,0%,2,2,0,"Local Pack (0), News (0)",https://www.southernfront.com/,1,1,0,,https://www.southernfront.com,1,1,0,"Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), People Also Ask (0)",https://www.southernfront.com/,1,1,0,"Images (1), Videos (0), SiteLinks (1), Thumbnail (0), Reviews (0), Knowledge Panel (1), People Also Ask (0)",https://www.southernfront.com/
southern door store,99%,-1%,2,1,-1,Videos (0),https://www.southernfront.com/the-southern-door-store/,1,1,0,,https://www.southernfront.com,1,1,0,"Local Pack (0), Images (1), Thumbnail (1), Reviews (0), Ads Bottom (0)",https://www.southernfront.com/,1,1,0,"Local Pack (0), Images (1), Thumbnail (0), Reviews (0)",https://www.southernfront.com/
rustic country front doors houston texas,99%,+4%,1,1,0,Images (1),https://www.southernfront.com/houston/rustic-entry-doors-houston/,1(1),2(1),+1,"Local Pack (1), Images (1)",https://www.southernfront.com/,1,3,+2,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/houston/rustic-entry-doors-houston/,2,4,+2,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0), Shopping (0)",https://www.southernfront.com/houston/rustic-entry-doors-houston/
Fiberglass Front Doors Houston Texas,99%,+25%,2,2,0,"Local Pack (0), Images (1)",https://www.southernfront.com/,1,Not in top 30,Entered,"Local Pack (1), Images (1)",https://www.southernfront.com,1(1),1(1),0,"Local Pack (1), Images (1), Thumbnail (1), Reviews (0), People Also Ask (0)",https://www.southernfront.com/,1(1),1(1),0,"Local Pack (1), Images (1), Thumbnail (1), Reviews (0), People Also Ask (0)",https://www.southernfront.com/
replacement exterior doors west houston,99%,+24%,1,1,0,,https://www.southernfront.com/,1,Not in top 30,Entered,"Local Pack (1), Images (1)",https://www.southernfront.com,1,1,0,"Local Pack (1), Images (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://www.southernfront.com/,2,1(3),-1,"Local Pack (0), Images (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://www.southernfront.com/
"residential entry doors Houston, TX",99%,+1%,2,2,0,"Local Pack (0), Images (1)",https://www.southernfront.com/,1,1,0,Local Pack (1),https://www.southernfront.com,1,1,0,"Images (0), Thumbnail (1), Reviews (0), Knowledge Panel (0), People Also Ask (0)",https://www.southernfront.com/,1,2,+1,"Thumbnail (1), Reviews (0), Knowledge Panel (0)",https://www.southernfront.com/
"screen security doors Houston, TX",99%,+2%,2,3,+1,"Local Pack (0), Images (1)",https://www.southernfront.com/screen-security-door-houston-tx/,1(3),1(3),0,Local Pack (1),https://www.southernfront.com/,1,1,0,"Images (1), Videos (0), Thumbnail (1), Reviews (0), Knowledge Panel (0), People Also Ask (0)",https://www.southernfront.com/security-door-screen-houston-tx/,1,2,+1,"Images (1), Videos (0), Thumbnail (1), Reviews (0), Knowledge Panel (0), Ads Bottom (0), Shopping (0)",https://www.southernfront.com/security-door-screen-houston-tx/
exterior iron door cypress TX,99%,0%,2,2,0,"Local Pack (0), Images (1)",https://www.southernfront.com/exterior-doors-cypress-tx/,1(1),1(1),0,"Local Pack (1), Images (1)",https://www.southernfront.com/,1,1(2),0,"Local Pack (1), Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0), Ads Bottom (0)",https://www.southernfront.com/iron-doors-cypress-tx/,1(2),1(4),0 (+2),"Local Pack (1), Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://www.southernfront.com/
entry door the woodlands,99%,+4%,2,4,+2,"Local Pack (0), Images (1), News (0)",https://www.southernfront.com/entry-doors-the-woodlands-tx/,1(5),3,+2,"Local Pack (1), Images (1)",https://www.southernfront.com/,1,1,0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/houston/exterior-doors-the-woodlands-tx/,1,2,+1,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0), Shopping (0)",https://www.southernfront.com/houston/exterior-doors-the-woodlands-tx/
entry door company houston texas,98%,-1%,2,2,0,Local Pack (0),https://www.southernfront.com/,1,1,0,Local Pack (1),https://www.southernfront.com,1,1,0,"Local Pack (1), Images (0), Thumbnail (1), Reviews (0), Ads Top (0), Ads Bottom (0)",https://www.southernfront.com/,2,1(3),-1,"Local Pack (0), Images (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/
custom mahogany entry doors houston,98%,-1%,1,1,0,"Images (0), Videos (0)",https://www.southernfront.com/houston/mahogany-front-doors/,1(1),2(3),+1,"Local Pack (1), Images (0), Videos (0)",https://www.southernfront.com/,2,2,0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/,3,1(1),-2,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/houston/mahogany-exterior-doors-houston/
custom wood doors houston,98%,+1%,2,2,0,"Local Pack (0), Videos (0)",https://www.southernfront.com/houston/custom-wood-doors-houston-tx/,1,1,0,Local Pack (1),https://www.southernfront.com/houston/custom-wood-doors-houston-tx,1(3),2,+1,"Local Pack (1), Images (1), Videos (0), Thumbnail (1), Reviews (0)",https://www.southernfront.com/,2,2,0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), People Also Ask (0)",https://www.southernfront.com/houston/custom-wood-doors-houston-tx/
custom wood doors houston tx,98%,0%,2,2,0,"Local Pack (0), Images (1)",https://www.southernfront.com/houston/custom-wood-doors-houston-tx/,1(4),1(1),0 (-3),"Local Pack (1), Images (1)",https://www.southernfront.com/,2,2,0,"Local Pack (0), Images (1), Thumbnail (1), Reviews (0), Ads Bottom (0)",https://www.southernfront.com/houston/custom-wood-doors-houston-tx/,2,2,0,"Local Pack (0), Images (1), Thumbnail (1), Reviews (0)",https://www.southernfront.com/houston/custom-wood-doors-houston-tx/
custom wood doors the woodlands tx,98%,+1%,2,2,0,"Local Pack (0), Images (1)",https://www.southernfront.com/houston/custom-wood-doors-the-woodlands-tx/,2,2,0,"Local Pack (0), Images (1)",https://www.southernfront.com/houston/custom-wood...,1,1,0,"Images (1), Videos (0), Thumbnail (1), Reviews (0), Knowledge Panel (0), People Also Ask (0)",https://www.southernfront.com/houston/custom-wood-doors-the-woodlands-tx/,1,2,+1,"Images (1), Videos (0), Thumbnail (1), Reviews (0), Knowledge Panel (0)",https://www.southernfront.com/houston/custom-wood-doors-the-woodlands-tx/
door companies houston,98%,+28%,2,2,0,Local Pack (0),https://www.southernfront.com/,1(5),Not in top 30,Entered,Local Pack (1),https://www.southernfront.com/,2,4,+2,"Local Pack (0), Images (0), Reviews (0)",https://www.southernfront.com/the-door-company-of-houston/,1(3),3,+2,"Local Pack (1), Images (0), Reviews (0), People Also Ask (0)",https://www.southernfront.com/
"exterior doors houston houston, tx",98%,+1%,2,1,-1,Local Pack (0),https://www.southernfront.com/,1,1,0,Local Pack (0),https://www.southernfront.com,2,3,+1,"Local Pack (0), Images (1), Thumbnail (1), Reviews (0)",https://www.southernfront.com/,2,3,+1,"Thumbnail (1), Reviews (0), Knowledge Panel (0)",https://www.southernfront.com/
exterior doors houston texas,98%,+1%,1,1,0,,https://www.southernfront.com/,1,1,0,Local Pack (1),https://www.southernfront.com,2,3,+1,"Images (1), Thumbnail (1), Reviews (0), Knowledge Panel (0)",https://www.southernfront.com/,3,3,0,"Thumbnail (1), Reviews (0), Knowledge Panel (0), Shopping (0)",https://www.southernfront.com/
exterior doors houston tx,98%,+2%,1,1,0,,https://www.southernfront.com/,1,1,0,Local Pack (1),https://www.southernfront.com,2,3,+1,"Images (1), Thumbnail (1), Reviews (0), Knowledge Panel (0)",https://www.southernfront.com/,2,3,+1,"Thumbnail (1), Reviews (0), Knowledge Panel (0)",https://www.southernfront.com/
"exterior doors houston, tx",98%,+2%,1,1,0,,https://www.southernfront.com/,1,1,0,"Local Pack (1), Images (1)",https://www.southernfront.com,2,3,+1,"Images (1), Thumbnail (1), Reviews (0), Knowledge Panel (0)",https://www.southernfront.com/,2,3,+1,"Thumbnail (1), Reviews (0), Knowledge Panel (0)",https://www.southernfront.com/
