Keyword,Visibility,Visibility Difference,Google HOU Rank,Google HOU Previous Rank,Google HOU Difference,Google HOU SERP Features,Google HOU URL Found,Google Mobile HOU Rank,Google Mobile HOU Previous Rank,Google Mobile HOU Difference,Google Mobile HOU SERP Features,Google Mobile HOU URL Found,Yahoo! Rank,Yahoo! Previous Rank,Yahoo! Difference,Yahoo! SERP Features,Yahoo! URL Found,Bing US Rank,Bing US Previous Rank,Bing US Difference,Bing US SERP Features,Bing US URL Found
copper per pound,49%,-22%,1,1,0,"Featured Snippet (1), Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-recycling-prices/,2,1,-1,"Featured Snippet (0), Images (1), Videos (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-price-per-pound/,Not in top 30,20,Dropped,Videos (0),,Not in top 30,16,Dropped,Videos (0),
copper price per lb,50%,0%,1,1,0,"Featured Snippet (1), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,1,1,0,"Featured Snippet (1), Images (1), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,Videos (0),
copper price per pound,50%,0%,1,1,0,"Featured Snippet (1), Images (1), Videos (0), Thumbnail (1), People Also Ask (0)",https://astrocityscrap.com/pricing/,1,1,0,"Featured Snippet (1), Images (1), Videos (0), Thumbnail (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,,
copper price per pound houston,98%,13%,1,1,0,"Featured Snippet (1), Local Pack (1), Images (1), Thumbnail (1), Reviews (0), People Also Ask (0), Ads Top (0)",https://astrocityscrap.com/pricing/,1,1,0,"Featured Snippet (1), Local Pack (1), Images (1), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,2,9,7,Videos (0),https://astrocityscrap.com/houston-tx-copper-price-per-pound/,3,12,9,Local Pack (0),https://astrocityscrap.com/houston-tx-c…
Copper Recycling Prices 77090,98%,48%,1,1(3),0,"Images (1), Thumbnail (1), People Also Ask (0)",https://astrocityscrap.com/copper-recycling-prices-77090/,1,1(3),0,"Images (1), Thumbnail (1), People Also Ask (0)",https://astrocityscrap.com/copper-recycling-prices-77090/,2,Not in top 30,Entered,Local Pack (0),https://astrocityscrap.com/houston-tx-copper-recycling-prices/,2,Not in top 30,Entered,Local Pack (0),https://astrocityscrap.com/copper-recycling-prices-77090
Copper Recycling Prices 77091,99%,49%,1,1(1),0,"Images (1), Thumbnail (1), People Also Ask (0)",https://astrocityscrap.com/scrap-copper-prices-77091/,1(2),1(1),0 (-1),"Local Pack (1), Images (1), Thumbnail (1), People Also Ask (0)",https://astrocityscrap.com/,2,Not in top 30,Entered,Local Pack (0),https://astrocityscrap.com/houston-tx-copper-recycling-prices/,1,Not in top 30,Entered,Local Pack (1),https://astrocityscrap.com/houston-tx-copper-recycling-prices
copper scrap price,50%,2%,1,2,1,"Images (1), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-price-per-pound/,1,2,1,"Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-price-per-pound/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,,
copper scrap yards near me,48%,-2%,2,1(1),-1,"Local Pack (0), Images (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-best-copper-scrap-prices-near-me/,2,1(1),-1,"Local Pack (0), Images (1), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-best-copper-scrap-prices-near-me/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",
copper value per pound,48%,-15%,1,1,0,"Featured Snippet (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-price-per-pound/,3,1,-2,"Featured Snippet (0), Images (1), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-recycling-prices/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,15,Dropped,,
copper wire recycling,50%,0%,1,1(1),0,"Local Pack (0), Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-wire-recycling/,1,1(1),0,"Local Pack (0), Images (1), Videos (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-wire-recycling/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",
copper wire scrap price,50%,0%,1,1,0,"Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-price-per-pound/,1,1,0,"Images (1), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-price-per-pound/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,Videos (0),
Harris County TX Aluminum Recycling Near Me,81%,17%,4,8,4,"Local Pack (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-aluminum-recycling-center-near-me/,4,7,3,"Local Pack (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-aluminum-recycling-center-near-me/,11,Not in top 30,Entered,Local Pack (0),https://astrocityscrap.com/harris-county-tx-scrap-prices-near-me/,8,1(4),-7,"Local Pack (0), Videos (0)",https://astrocityscrap.com/harris-count…
Harris County TX brass recycling near me,84%,19%,3,7,4,"Local Pack (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/harris-county-tx-brass-recycling-near-me/,3,7,4,"Local Pack (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/harris-county-tx-brass-recycling-near-me/,6,Not in top 30,Entered,Local Pack (0),https://astrocityscrap.com/harris-county-tx-brass-recycling-near-me/,11,1(1),-10,Local Pack (0),https://astrocityscrap.com/harris-county-tx-brass-recycling-near-me
Harris County TX Scrap Yard,93%,5%,5,7,2,"Local Pack (0), Images (1), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,5,7,2,"Local Pack (0), Images (1), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,2,4,2,Local Pack (0),https://astrocityscrap.com/harris-county-tx-scrap-yard/,1(1),1(1),0,"Local Pack (1), Images (1)",https://astrocityscrap.com/
Harris County TX Scrap Yard Near Me,94%,27%,3,6,3,"Local Pack (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/harris-county-tx-scrap-yard-near-me/,3,5,2,"Local Pack (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/harris-county-tx-scrap-yard-near-me/,4,Not in top 30,Entered,Local Pack (0),https://astrocityscrap.com/harris-county-tx-scrap-yard/,1(3),1(1),0 (-2),"Local Pack (1), Videos (0)",https://astrocityscrap.com/
highest paying scrap metal near me,88%,41%,3,2,-1,"Local Pack (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,4,4,0,"Local Pack (0), Videos (0), Thumbnail (0), People Also Ask (0)",https://astrocityscrap.com/,8,Not in top 30,Entered,Videos (0),https://astrocityscrap.com/,4,Not in top 30,Entered,"Local Pack (0), Videos (0)",https://astrocityscrap.com
Houston TX Aluminum Buyers Near Me,96%,55%,2,14,12,"Local Pack (0), Videos (0), Reviews (0), People Also Ask (0), Ads Bottom (0)",https://astrocityscrap.com/houston-tx-aluminum-buyers-near-me/,2,12,10,"Local Pack (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-aluminum-buyers-near-me/,3,Not in top 30,Entered,"Local Pack (0), Videos (0)",https://astrocityscrap.com/houston-tx-aluminum-buyers-near-me/,2,18,16,Local Pack (0),https://astrocityscrap.com/houston-tx-aluminum-buyers-near-me
Houston TX aluminum prices near me,93%,23%,1,4,3,"Local Pack (1), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,1(3),4,3,"Local Pack (1), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,6,Not in top 30,Entered,"Local Pack (0), Videos (0)",https://astrocityscrap.com/pricing/,5,1(3),-4,Local Pack (0),https://astrocityscrap.com/pricing
Houston TX Aluminum Recycling Near Me,65%,3%,5,9,4,"Local Pack (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-aluminum-recycling-center-near-me/,4,9,5,"Local Pack (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-aluminum-recycling-center-near-me/,Not in top 30,Not in top 30,Stays out,Local Pack (0),,6,1(5),-5,Local Pack (0),https://astrocityscrap.com/houston-tx-aluminum-recycling-center
houston tx brass recycling near me,59%,-35%,4,4,0,"Local Pack (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,4,4,0,"Local Pack (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,24,2,-22,Local Pack (0),https://astrocityscrap.com/houston-tx-copper-recycling-center-near-me/,21,1,-20,Local Pack (0),https://astrocityscrap.com/houston-tx-c…
houston tx scrap yard near me,92%,3%,1(2),5,4,"Local Pack (1), Images (0), Videos (0), Thumbnail (1), Reviews (0)",https://astrocityscrap.com/,2,6,4,"Local Pack (0), Images (1), Videos (0), Thumbnail (0), Reviews (0)",https://astrocityscrap.com/,10,5,-5,"Local Pack (0), Videos (0)",https://astrocityscrap.com/,1(2),1(2),0,Local Pack (1),https://astrocityscrap.com/
how much is a pound of copper worth,39%,1%,1,7,6,"Featured Snippet (1), Images (0), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-price-per-pound/,14,9,-5,"Featured Snippet (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/scrap-copper-prices-77009/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,Videos (0),
how much is copper going for per pound,49%,-1%,1,1,0,"Featured Snippet (1), Videos (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-recycling-prices/,2,1,-1,"Featured Snippet (0), Videos (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-price-per-pound/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,Videos (0),
how much is copper per pound in texas,85%,3%,3,1,-2,"Featured Snippet (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,3,1,-2,"Featured Snippet (0), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,9,12,3,Videos (0),https://astrocityscrap.com/houston-tx-copper-price-per-pound/,7,11,4,,https://astrocityscrap.com/houston-tx-copper-price-per-pound
how much is copper worth per pound,50%,0%,1,1,0,"Featured Snippet (1), Images (1), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-recycling-prices/,1,1,0,"Featured Snippet (1), Images (1), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-recycling-prices/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,Videos (0),
iron scrap price,38%,8%,8,9,1,"Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,8,16,8,"Images (1), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-copper-price-per-pound/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,Videos (0),
iron scrap price today,38%,-1%,9,8,-1,"Images (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,8,8,0,"Images (0), Videos (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/pricing/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,Videos (0),
local metal recycling service,0%,0%,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Images (0), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Images (0), Videos (0), Thumbnail (0)",,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",
local scrap metal,43%,-1%,5,5,0,"Local Pack (0), Images (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,5,4,-1,"Local Pack (0), Images (0), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",
local scrap metal yard,45%,0%,4,4,0,"Local Pack (0), Images (0), Videos (0), Thumbnail (1), People Also Ask (0)",https://astrocityscrap.com/,4,4,0,"Local Pack (0), Images (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,Not in top 30,Not in top 30,Stays out,"Local Pack (0), News (0), Videos (0)",,Not in top 30,Not in top 30,Stays out,Local Pack (0),
metal recycling houston,50%,4%,1(3),6,5,"Local Pack (1), Images (0), Videos (0), Thumbnail (1), Reviews (0)",https://astrocityscrap.com/,1(3),1(4),0 (+1),"Local Pack (1), Images (0), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",
metal recycling near me,43%,-2%,6,4,-2,"Local Pack (0), Images (0), Videos (0), Thumbnail (1), Reviews (0)",https://astrocityscrap.com/,5,4,-1,"Local Pack (0), Images (0), Videos (0), Thumbnail (0), Reviews (0)",https://astrocityscrap.com/,Not in top 30,Not in top 30,Stays out,"News (0), Videos (0)",,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",
metal recycling service,8%,-32%,26,7,-19,"Local Pack (0), Images (0), Videos (0), Thumbnail (1), Reviews (0)",https://astrocityscrap.com/,27,7,-20,"Local Pack (0), Images (0), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",
metal salvage Houston TX,75%,5%,4,4,0,"Local Pack (0), Images (0), Videos (0), Thumbnail (1), Reviews (0)",https://astrocityscrap.com/,4,4,0,"Local Pack (0), Images (0), Videos (0), Thumbnail (0), Reviews (0)",https://astrocityscrap.com/,12,Not in top 30,Entered,Videos (0),https://astrocityscrap.com/,14,1(3),-13,Local Pack (0),https://astrocityscrap.com
metal salvage near me,47%,3%,3,5,2,"Local Pack (0), Images (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,3,5,2,"Local Pack (0), Images (0), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,Local Pack (0),
metal scrap yard near me,70%,23%,2,3,1,"Local Pack (0), Images (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,2,3,1,"Local Pack (0), Images (0), Videos (0), Thumbnail (0), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/,25,Not in top 30,Entered,Videos (0),https://astrocityscrap.com/,11,Not in top 30,Entered,"Local Pack (0), Videos (0)",https://astrocityscrap.com
nickel scrap,50%,8%,1,6,5,"Images (1), Videos (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-nickel-scrap-price/,1,6,5,"Local Pack (1), Images (1), Videos (0), Videos (0), Thumbnail (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-nickel-scrap-price/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,"Images (0), Videos (0)",
nickel scrap metal sell,50%,0%,1,1(3),0,"Images (1), Videos (0), Thumbnail (1), People Also Ask (0)",https://astrocityscrap.com/houston-tx-nickel-scrap-price/,1,1(3),0,"Local Pack (1), Images (1), Videos (0), Thumbnail (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-nickel-scrap-price/,Not in top 30,Not in top 30,Stays out,"Images (0), Videos (0)",,Not in top 30,Not in top 30,Stays out,Images (0),
nickel scrap price,48%,3%,2,4,2,"Featured Snippet (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-nickel-scrap-price/,2,4,2,"Featured Snippet (0), Videos (0), Thumbnail (1), Reviews (0), People Also Ask (0)",https://astrocityscrap.com/houston-tx-nickel-scrap-price/,Not in top 30,Not in top 30,Stays out,Videos (0),,Not in top 30,Not in top 30,Stays out,"Local Pack (0), Videos (0)",
